"From","To","Days","Dep.","time","Arr.","time","Flightnumber","A/C","Class","stops","via","FlightTime","ServiceType"
"TO","Savannah   (SAV)  (Savannah/Hilton Head Airport)"
"08-Jun","","1234567","ABQ","0830","SAV","1521","DL1157","M88","FY",1,"ATL","4:51","J"
"TO","Spokane   (GEG)  (Spokane International Airport)"
"","07-Jun"," 23    ","ABQ","1846","GEG","2201","DL3877*","CRJ","Y",1,"SLC","4:15","J"
"TO","Tampa   (TPA)  (Tampa International Airport)"
"","07-Jun"," 23    ","ABQ","0830","TPA","1702","DL6834*","320","FY",1,"MSP","6:32","J"
""
""
"FROM","Alexandria (AEX)"
"TO","Atlanta   (ATL)  (Hartsfield-Jackson Atlanta International Airport)"
"06-Jun","","1234567","AEX","0600","ATL","0840","DL4599*","CRJ","Y",0,"","1:40","J"
"01-Jul","","     6 ","AEX","1150","ATL","1430","DL4291*","CRJ","Y",0,"","1:40","J"
"","07-Jun"," 23    ","AEX","1200","ATL","1440","DL4291*","CR2","Y",0,"","1:40","J"
"08-Jun","30-Jun","1234567","AEX","1200","ATL","1440","DL4291*","CRJ","Y",0,"","1:40","J"
"02-Jul","","12345 7","AEX","1200","ATL","1440","DL4291*","CRJ","Y",0,"","1:40","J"
"","07-Jun"," 23    ","AEX","1725","ATL","2007","DL4290*","CR2","Y",0,"","1:42","J"
"08-Jun","02-Jul","12345 7","AEX","1745","ATL","2027","DL4290*","CR2","Y",0,"","1:42","J"
"05-Jul","","12345 7","AEX","1745","ATL","2027","DL4290*","CR2","Y",0,"","1:42","J"
"TO","Dallas   (DFW)  (DAL-Love Field)"
"14-Jun","28-Jun","  3    ","AEX","0600","DAL","0929","DL2190*","ERJ","Y",1,"IAH","3:29","J"
"TO","Fayetteville   (FYV)  (XNA-Northwest Arkansas Regional Airport)"
"08-Jun","30-Jun","12 45  ","AEX","0600","XNA","0905","DL2883*","ER3","Y",1,"IAH","3:05","J"
"05-Jul","","12345  ","AEX","0600","XNA","0905","DL2883*","ER3","Y",1,"IAH","3:05","J"
""
""
"FROM","Allentown (ABE)"
"TO","Atlanta   (ATL)  (Hartsfield-Jackson Atlanta International Airport)"
